ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,OrganizationName,BillingAddress,CandidateBallotInformation,PayingAdvertiserName,CommitteeName,CommitteeIdentificationNumber,DisclosureNameOfCommittee,AdvertisingJurisdiction,Gender,AgeBracket,CountryCode,Regions (Included),Regions (Excluded),Electoral Districts (Included),Electoral Districts (Excluded),Radius Targeting (Included),Radius Targeting (Excluded),Metros (Included),Metros (Excluded),Postal Codes (Included),Postal Codes (Excluded),Location Categories (Included),Location Categories (Excluded),Interests,OsType,Segments,Language,AdvancedDemographics,Targeting Connection Type,Targeting Carrier (ISP),CreativeProperties
b6370285acd41d6a55fdced4c78a7feb3d3897619ae5e6a786400ab1917894b1,https://www.snap.com/political-ads/asset/703488a338d5de6fa1e15157de79bca1885a60b1a5225acbdf9f149044669c8a?mediaType=mp4,SEK,1092,5460,2022/08/22 07:00:59Z,2022/09/11 21:59:59Z,Reform Society,"Kungsgatan 18,Stockholm,111 35,SE",Hands off,RFSU,,,,,,18+,sweden,,,,,,,,,,,,,,,,,,,,web_view_url:https://handsoff.rfsu.se/?utm_source=Snapchat&utm_medium=cpm&utm_campaign=Valkampanj2022&utm_id=60375
75705074fc2b8293cf97a6e022ac023706c7f6a1da59874b2dda7aa58328f6da,https://www.snap.com/political-ads/asset/04e8336abd25bf078b0e48e67eca923dcbf3f46930e63b3a0f6c2ba8fb8f5e3a?mediaType=mp4,USD,788,6365,2022/09/12 16:31:54Z,2022/11/08 23:00:00Z,Wavelength Strategy,US,,Mark Kelly for Senate,,,,,,18+,united states,,,,,latitude 32.2319;longitude -110.95354;radius 4.0,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://markkelly.com/?utm_source=snap&utm_medium=paid
1380378d4e276832e4631c954dee0910163a48d8c585055c3f8b80e41c0475e5,https://www.snap.com/political-ads/asset/5a14dffd540ff56f073163899b057377e2ca3267c3c774f2ba609c3321fe942d?mediaType=png,USD,650,13505,2022/11/02 18:03:54Z,2022/11/09 05:59:00Z,Veracity Media,US,Monica Wallace,Friends of Monica Wallace,,,,,,18+,united states,,,,,,,,,"14004,14026,14043,14059,14086,14206,14211,14212,14215,14221,14224,14225,14226,14227",,,,,,Provided by Advertiser,,,,,
646e1959b2c0010ca0eff8f2b18f1d4c80373c863b8d7e754de7ebb9b49e3a11,https://www.snap.com/political-ads/asset/eb5d1f0d77aa8d6f82473a9ad5eb48170b5c7579fcc86bbb8d91b5a509a786c8?mediaType=mp4,SEK,436,690,2022/08/22 07:00:59Z,2022/09/11 21:59:59Z,Reform Society,"Kungsgatan 18,Stockholm,111 35,SE",Hands off,RFSU,,,,,,18+,sweden,,,,,,,,,,,,,,,,,,,,web_view_url:https://handsoff.rfsu.se/?utm_source=Snapchat&utm_medium=cpm&utm_campaign=Valkampanj2022&utm_id=60375
5200348e27c47d8c240b37da37992f7557292ae94cafe2ef85aec1898ea9b568,https://www.snap.com/political-ads/asset/1e97c7d602d65339ceb424042b721f255530a34df9628fd9e30c1226656ec20f?mediaType=png,USD,176,7273,2022/11/02 17:58:10Z,2022/11/09 05:59:00Z,Veracity Media,US,Carrie Woerner,Friends of Carrie Woerner,,,,,,18+,united states,,,,,,,,,"12019,12020,12094,12118,12151,12154,12170,12185,12803,12804,12809,12816,12823,12827,12828,12831,12832,12833,12834,12838,12839,12865,12866,12871,12873,12884",,,,,,Provided by Advertiser,,,,,
5ead5f7da0b8020f144e30f9a91a1371863bf33ec9fec3266462c7c2a42f0c63,https://www.snap.com/political-ads/asset/b2958141734143fe9068bfcc188b7d9c64c30cd65b301c75e6f5f3068fdf00f4?mediaType=mp4,USD,269,490,2022/11/01 17:38:35Z,2022/11/08 23:59:00Z,BerlinRosen,"15 Maiden Lane #16,New York,10038,US",,United We Dream Action,,,,,,18-35,united states,Arizona,,,,,,,,,,,,"Advocates & Activists,Mexican Food Shoppers,nln_7169,Latin Music Fans",,Provided by Advertiser,es,"Household Income: Under $50000,Household Income: $50000 - $99999",,,
cc5d1267f416cc4a4d514f0bde58ecf10675882b1717a8a8146d5b40372cde46,https://www.snap.com/political-ads/asset/b539bd011e20e0f77fe53c13c96313d4e537e81c59169e435accb00b52fa8030?mediaType=png,USD,39,2881,2022/11/08 07:00:21Z,2022/11/09 00:00:00Z,Veracity Media,US,Voter Action Project,Voter Action Project,,,,,FEMALE,18-39,united states,Nevada,,,,,,,,,,,,,,Provided by Advertiser,en,,,,
6f7dea9b994d11309f13de85a352047f38f26c23389d7c424941b377440e4914,https://www.snap.com/political-ads/asset/e079a3f93e1075a8265f419e6056458b4e3e59feadfd9cf7d6c8fcdf04e171b8?mediaType=mp4,SEK,2100,10231,2022/08/22 07:00:59Z,2022/09/11 21:59:59Z,Reform Society,"Kungsgatan 18,Stockholm,111 35,SE",Hands off,RFSU,,,,,,18+,sweden,,,,,,,,,,,,,,,,,,,,web_view_url:https://handsoff.rfsu.se/?utm_source=Snapchat&utm_medium=cpm&utm_campaign=Valkampanj2022&utm_id=60375
25889949176a1cb3088bfc1b8425cbd61ce0acf245c888fd4e5aa4c6a3040040,https://www.snap.com/political-ads/asset/ed99b04e2364d7e23dea037db0c6be12c754f7d7aeed796fdeb157a320750212?mediaType=png,USD,258,3576,2022/11/02 17:48:03Z,2022/11/09 05:59:00Z,Veracity Media,US,Bill Conrad,Friends of Bill Conrad,,,,,,18+,united states,,,,,,,,,"14120,14150,14207,14213,14216,14217,14223",,,,,,Provided by Advertiser,,,,,
4d879ec612391660e656c49e191758a22b90ac9fff29383aeaf1c1d3e9447f4b,https://www.snap.com/political-ads/asset/db6a3bc86b1187c1a5aa5adb0384e51904e952b40bc8f59b364e59cab0edb41c?mediaType=png,USD,2000,41817,2022/10/28 13:00:00Z,2022/11/12 04:59:00Z,"Odonnell Company ","59 Elm Street,New Haven,06511,US",,CT Secretary of the State,,,,,,18-40,united states,Connecticut,,,,,,,,,,,,,,,,,,,
0c53b4e54d5a730112bfc6e09810f1fd7c3cf6b2b390a626cdc01b49749e4384,https://www.snap.com/political-ads/asset/b2958141734143fe9068bfcc188b7d9c64c30cd65b301c75e6f5f3068fdf00f4?mediaType=mp4,USD,199,227,2022/11/01 17:38:35Z,2022/11/08 23:59:00Z,BerlinRosen,"15 Maiden Lane #16,New York,10038,US",,United We Dream Action,,,,,,18-35,united states,Nevada,,,,,,,,,,,,"Advocates & Activists,Mexican Food Shoppers,nln_7169,Latin Music Fans",,Provided by Advertiser,es,"Household Income: Under $50000,Household Income: $50000 - $99999",,,
